,age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,target
age,1.0,-0.09754228377924508,0.10413895433792275,0.28494591931369023,0.2089502699467822,0.11853024221696316,0.14886759109352657,-0.39380580598682063,0.09166077150494456,0.2038054813870624,0.1617695585214801,0.3626045261912276,0.12738862153907998,0.222853419275953
sex,-0.09754228377924508,1.0,0.010083888226349768,-0.06445589795334801,-0.19991468261203615,0.04786212108341733,0.02164735389691182,-0.048663296453923754,0.14620148645646494,0.10217264433513328,0.03753288151845546,0.09318475873086612,0.38093583491374833,0.22446851351190614
cp,0.10413895433792275,0.010083888226349768,1.0,-0.03607724521041058,0.07231888433688202,-0.039974989575683906,0.06750523263696226,-0.3344217058864853,0.38405952636486906,0.20227654057937264,0.15205041669796923,0.2332144107230098,0.2652455672749701,0.40707542149829695
trestbps,0.28494591931369023,-0.06445589795334801,-0.03607724521041058,1.0,0.1301201084926919,0.17534022687457218,0.14656038705331698,-0.04535087935834354,0.06476245555582552,0.1891709707903293,0.11738158422127241,0.09877325705680148,0.13355389732251047,0.1577540762636873
chol,0.2089502699467822,-0.19991468261203615,0.07231888433688202,0.1301201084926919,1.0,0.009841023043464818,0.17104253199211242,-0.0034318315180257085,0.06131037688875967,0.04656398918044737,-0.004061834135632588,0.11900048707721815,0.014214065537548783,0.07090875545132243
fbs,0.11853024221696316,0.04786212108341733,-0.039974989575683906,0.17534022687457218,0.009841023043464818,1.0,0.06956449708140448,-0.007854146676875952,0.0256651472021262,0.005747223459644334,0.059894178290417995,0.14547752245238565,0.07135826905326775,0.059186093176192056
restecg,0.14886759109352657,0.02164735389691182,0.06750523263696226,0.14656038705331698,0.17104253199211242,0.06956449708140448,1.0,-0.08338943280752735,0.08486695269604382,0.11413281320832518,0.13394568969563284,0.12834265273585774,0.024531086067562102,0.1836963481036798
thalach,-0.39380580598682063,-0.048663296453923754,-0.3344217058864853,-0.04535087935834354,-0.0034318315180257085,-0.007854146676875952,-0.08338943280752735,1.0,-0.3781034244549704,-0.3430853918479222,-0.3856011620787403,-0.26424625307130917,-0.2796306465400074,-0.41504046173507825
exang,0.09166077150494456,0.14620148645646494,0.38405952636486906,0.06476245555582552,0.06131037688875967,0.0256651472021262,0.08486695269604382,-0.3781034244549704,1.0,0.28822280778276527,0.2577483685301669,0.14556960318928228,0.329679998200106,0.39705730162267466
oldpeak,0.2038054813870624,0.10217264433513328,0.20227654057937264,0.1891709707903293,0.04656398918044737,0.005747223459644334,0.11413281320832518,-0.3430853918479222,0.28822280778276527,1.0,0.5775368167291409,0.2958321145852634,0.3410039846345863,0.504091973033799
slope,0.1617695585214801,0.03753288151845546,0.15205041669796923,0.11738158422127241,-0.004061834135632588,0.059894178290417995,0.13394568969563284,-0.3856011620787403,0.2577483685301669,0.5775368167291409,1.0,0.11011918847734747,0.28723198547530204,0.3779566027337862
ca,0.3626045261912276,0.09318475873086612,0.2332144107230098,0.09877325705680148,0.11900048707721815,0.14547752245238565,0.12834265273585774,-0.26424625307130917,0.14556960318928228,0.2958321145852634,0.11011918847734747,1.0,0.25638249919013484,0.5189092469193571
thal,0.12738862153907998,0.38093583491374833,0.2652455672749701,0.13355389732251047,0.014214065537548783,0.07135826905326775,0.024531086067562102,-0.2796306465400074,0.329679998200106,0.3410039846345863,0.28723198547530204,0.25638249919013484,1.0,0.5099229011852175
target,0.222853419275953,0.22446851351190614,0.40707542149829695,0.1577540762636873,0.07090875545132243,0.059186093176192056,0.1836963481036798,-0.41504046173507825,0.39705730162267466,0.504091973033799,0.3779566027337862,0.5189092469193571,0.5099229011852175,1.0
